customer_id,customer_name,email,alternate_phone,phone_number,address,city,state,zip_code,postal_code,registration_date,status,total_orders,total_spent,loyalty_points,preferred_payment,age,birth_date,gender,segment
1,Charlie Brown,customer1@example.com,,,2018 Second Ave,new_york,CA,42132.0,65493-7388,2022-06-04,pending,37,1178.56,728,cash,,,M,
2,,alice.johnson@email.com,555-1365,(555) 790-4298,2306 Pine Rd,NYC,IL,48792.0,81588-7659,2020-02-22,inactive,35,1249.07,869,credit_card,,1963-03-08,M,vip
3,diana.prince,user3@domain.com,,,761 Second Ave,new_york,New York,45346.0,30303-2739,2020-07-10,active,31,4995.22,243,,46.0,,,
4,frank-miller,customer4@example.com,555-6641,(555) 854-4319,915 Second Ave,NYC,TX,,,2023-07-07,active,23,2405.49,601,debit_card,,1970-04-02,M,vip
5,,customer5@example.com,,,6904 First St,la,New York,31312.0,42679-7305,,,25,1886.76,863,debit_card,58.0,,F,vip
6,Grace Lee,customer6@example.com,555-2278,(555) 920-3883,6588 First St,New York,New York,,,2020-05-17,inactive,28,907.39,565,credit_card,65.0,,F,new
7,EVE WHITE,customer7@example.com,,(555) 482-4078,6333 First St,Chicago,PA,,,,active,5,3520.07,751,paypal,77.0,,M,new
8,EVE WHITE,customer8@example.com,555-8533,,9496 Pine Rd,NYC,California,52606.0,20762-2933,,active,17,3959.15,819,debit_card,28.0,1976-05-18,,regular
9,frank-miller,customer9@example.com,,(555) 249-5637,2194 Oak Ave,philadelphia,California,11882.0,52308-2053,2021-01-09,inactive,39,856.09,733,debit_card,61.0,,M,new
10,jane_doe,,,(555) 975-2046,3251 First St,Phoenix,TX,82510.0,69606-4296,,pending,26,1067.0,639,cash,39.0,,F,premium
11,Grace Lee,customer11@example.com,555-7776,(555) 500-3898,2681 Oak Ave,Houston,CA,,,2021-02-13,active,26,2931.42,599,credit_card,27.0,1984-01-25,F,new
12,EVE WHITE,customer12@example.com,,(555) 196-3105,3466 Main St,NYC,California,33580.0,,2021-05-13,active,0,1693.54,574,paypal,52.0,1974-04-02,M,regular
13,frank-miller,customer13@example.com,,(555) 899-9920,9231 Pine Rd,la,NY,74942.0,31685-8805,,,37,3885.41,342,paypal,,,M,
14,Bob Wilson,customer14@example.com,555-2199,,6155 First St,chicago,CA,73897.0,81273-3181,,suspended,28,1107.09,612,credit_card,,,M,new
15,Grace Lee,customer15@example.com,,,3745 Second Ave,la,California,,93619-6248,2021-12-17,active,2,2598.74,12,,46.0,1966-11-20,O,new
16,frank-miller,user16@domain.com,,,4054 Main St,Chicago,New York,,68366-1091,,pending,14,3757.74,275,,57.0,,O,new
17,EVE WHITE,customer17@example.com,555-8305,,3322 Main St,Phoenix,CA,,,,active,3,439.7,423,,59.0,,,vip
18,Bob Wilson,customer18@example.com,,,3038 Main St,New York,PA,61057.0,,2020-03-01,inactive,16,4967.59,837,cash,73.0,,F,regular
19,EVE WHITE,customer19@example.com,555-2544,,2032 Second Ave,philadelphia,AZ,94735.0,88989-9391,2020-09-26,active,28,1904.5,988,cash,75.0,,F,
20,Grace Lee,customer20@example.com,,(555) 258-4430,6855 Second Ave,Phoenix,TX,33902.0,,2020-04-19,active,29,2631.87,52,,33.0,1967-07-08,O,new
21,Grace Lee,customer21@example.com,,(555) 305-4114,2623 First St,Los Angeles,AZ,,87572-6350,,pending,38,3652.12,564,,75.0,,F,vip
22,John Smith,customer22@example.com,555-4502,,7860 Oak Ave,New York,TX,,98907-6183,2023-10-04,suspended,16,658.19,965,debit_card,,,F,premium
23,Bob Wilson,customer23@example.com,555-6167,(555) 563-7720,7163 Pine Rd,new_york,TX,83184.0,69617-8070,2023-12-19,,34,2223.92,491,,26.0,,F,vip
24,EVE WHITE,customer24@example.com,,(555) 756-4164,7143 Main St,Houston,CA,,78041-2010,2021-01-25,,42,3334.18,309,credit_card,57.0,,F,
25,John Smith,customer25@example.com,,(555) 289-7666,6804 Second Ave,NYC,AZ,94116.0,89509-1024,,inactive,34,4670.29,871,debit_card,25.0,1963-10-25,F,
26,EVE WHITE,customer26@example.com,555-7538,,8368 First St,Chicago,IL,,30727-8255,,inactive,32,3561.15,872,,,,F,regular
27,frank-miller,customer27@example.com,,(555) 113-2545,5422 Pine Rd,Los Angeles,California,38862.0,,,active,23,3334.98,154,credit_card,,1993-07-04,F,
28,John Smith,customer28@example.com,,(555) 945-7307,8784 Oak Ave,Phoenix,IL,83677.0,13448-7495,2022-03-20,active,7,2287.86,280,credit_card,50.0,,,regular
29,Grace Lee,customer29@example.com,555-5678,,3765 Main St,new_york,AZ,,24728-9340,2022-12-01,active,29,1403.63,105,credit_card,47.0,,,regular
30,frank-miller,customer30@example.com,,,6704 Second Ave,Houston,New York,51733.0,58338-6425,2020-09-09,suspended,39,3317.46,106,paypal,,1962-12-14,F,
31,diana.prince,customer31@example.com,,,2260 Main St,New York,IL,,71386-6432,2021-11-03,inactive,22,3790.61,868,,63.0,1973-02-18,,new
32,,customer32@example.com,,,6559 Oak Ave,Chicago,California,,,2021-06-17,suspended,6,4791.21,242,debit_card,42.0,1992-10-22,F,new
33,jane_doe,user33@domain.com,,,1872 Pine Rd,Houston,California,14822.0,,,active,22,3395.46,638,,68.0,,,premium
34,henry.davis123,customer34@example.com,,,4970 First St,NYC,PA,,46681-1048,2021-12-27,,49,1404.8,33,credit_card,44.0,1972-06-10,,regular
35,henry.davis123,user35@domain.com,,(555) 594-9295,9427 Oak Ave,New York,NY,19334.0,63373-3154,,pending,6,3233.14,538,paypal,32.0,,O,vip
36,,customer36@example.com,,,2902 First St,philadelphia,PA,43238.0,16170-1394,,inactive,27,4387.36,991,cash,,,,
37,,customer37@example.com,,,6408 Second Ave,NYC,AZ,92254.0,,,,1,2871.14,288,credit_card,,,M,vip
38,diana.prince,customer38@example.com,,(555) 933-6557,8669 Oak Ave,Chicago,NY,12028.0,,2022-01-22,active,24,3238.95,890,debit_card,47.0,1978-07-18,O,premium
39,EVE WHITE,customer39@example.com,,(555) 885-7901,1612 Second Ave,la,PA,25093.0,,2021-09-10,active,14,1967.12,654,credit_card,29.0,,F,
40,diana.prince,customer40@example.com,,(555) 709-1300,5030 Pine Rd,chicago,CA,34200.0,96488-3831,2022-10-20,,19,3404.1,147,credit_card,,,F,regular
41,henry.davis123,customer41@example.com,555-6464,,2842 Oak Ave,philadelphia,IL,49311.0,24821-4289,2021-02-21,suspended,17,2296.83,640,credit_card,,,,premium
42,diana.prince,customer42@example.com,,,6180 Pine Rd,New York,PA,,,2023-11-23,inactive,12,998.36,140,cash,,,F,premium
43,EVE WHITE,customer43@example.com,,,8770 First St,Houston,TX,95516.0,76166-2186,,pending,41,1884.1,532,debit_card,,,F,regular
44,Charlie Brown,customer44@example.com,555-1498,(555) 939-8803,1087 Second Ave,NYC,NY,85599.0,35233-6154,2021-07-10,pending,25,2692.64,168,paypal,,,M,new
45,henry.davis123,customer45@example.com,,,2475 Pine Rd,la,AZ,89859.0,,,suspended,23,1427.61,856,cash,23.0,,M,new
46,frank-miller,customer46@example.com,,(555) 384-2726,6606 Pine Rd,la,CA,23537.0,,2023-02-03,,27,2214.53,351,,,1971-10-17,,
47,Grace Lee,customer47@example.com,555-6931,(555) 175-1086,6319 Main St,Los Angeles,California,72357.0,43651-4095,2023-04-24,suspended,15,1160.51,741,credit_card,28.0,1998-10-17,M,premium
48,jane_doe,customer48@example.com,,,3059 Main St,new_york,NY,,,2023-05-21,,6,3350.59,334,credit_card,39.0,,M,
49,John Smith,customer49@example.com,,,3155 First St,Chicago,IL,66960.0,,,suspended,22,4304.14,724,cash,71.0,1984-06-03,,new
50,EVE WHITE,customer50@example.com,,(555) 735-7605,6065 Oak Ave,Houston,California,40668.0,,,,40,3818.77,287,cash,,,O,vip
51,Bob Wilson,customer51@example.com,,(555) 961-5070,5151 Pine Rd,Los Angeles,IL,21181.0,,2023-04-21,active,16,3314.41,830,,,,O,premium
52,EVE WHITE,customer52@example.com,,,5427 Second Ave,la,NY,61877.0,45109-1291,2020-02-17,active,32,495.17,356,cash,,,M,vip
53,henry.davis123,user53@domain.com,555-3761,(555) 634-8075,1892 Main St,NYC,CA,,,,inactive,16,967.89,5,debit_card,,,M,new
54,Charlie Brown,customer54@example.com,,,7526 Oak Ave,NYC,CA,,69554-2926,2020-09-19,inactive,20,469.44,103,cash,23.0,,,regular
55,Charlie Brown,customer55@example.com,555-5639,,3231 Second Ave,new_york,IL,35643.0,81932-3376,2021-05-07,active,28,4161.06,464,,44.0,1961-08-21,M,regular
56,Grace Lee,customer56@example.com,,,8949 Second Ave,New York,IL,,,2022-05-13,suspended,18,4902.51,549,,18.0,,M,
57,Grace Lee,,,(555) 817-4614,7313 Pine Rd,New York,CA,26727.0,69273-6747,2023-03-03,,22,1370.48,30,debit_card,,,F,premium
58,EVE WHITE,customer58@example.com,,,7411 Pine Rd,new_york,PA,58520.0,88095-3934,2022-11-20,active,27,322.53,999,cash,,1991-08-18,O,
59,henry.davis123,customer59@example.com,555-7450,(555) 337-7604,1627 Oak Ave,Los Angeles,TX,27503.0,44575-6696,,active,34,2431.29,431,cash,,,M,regular
60,jane_doe,customer60@example.com,,(555) 548-5692,4119 Pine Rd,Phoenix,TX,,40002-6199,2022-12-25,,7,4876.82,381,cash,63.0,1979-08-23,,
61,Charlie Brown,customer61@example.com,,,3528 Main St,la,TX,39716.0,,2020-09-10,suspended,13,3248.39,583,debit_card,67.0,1995-10-04,O,
62,EVE WHITE,customer62@example.com,555-9834,,2694 Main St,New York,TX,97648.0,19734-7281,2022-01-24,active,11,3986.79,96,paypal,51.0,1994-11-06,M,vip
63,Grace Lee,customer63@example.com,555-2088,,4728 Pine Rd,Los Angeles,TX,56833.0,89110-9871,2020-06-12,active,46,2841.34,875,paypal,,1978-04-13,M,
