order_id,cust_id,order_date,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,payment_method,shipping_address,notes,tracking_number
ORD_00001,CUST_0499,27-05-2023,PROD_165,22,8,1,145.96,110.94,735.95,735.24,0.0,18.03,28.57,returned,paypal,6339 Main St,,
ORD_00002,CUST_0142,07-04-2023,PROD_128,137,1,3,196.15,311.3,822.24,83.42,6.95,16.74,0.0,delivered,credit_card,2613 Pine Rd,,TRK729666
ORD_00003,CUST_0423,14-08-2023,PROD_072,20,2,3,221.29,188.02,901.03,461.6,6.54,13.89,0.0,returned,credit_card,7500 Main St,Special delivery instructions,
ORD_00004,CUST_0115,25-10-2023,PROD_087,184,1,1,88.97,151.61,553.47,383.83,18.33,39.49,0.0,pending,debit_card,4611 Main St,,
ORD_00005,CUST_0308,24-06-2023,PROD_105,34,10,3,14.13,105.91,957.64,449.37,22.35,3.3,0.0,shipped,credit_card,1651 Main St,Special delivery instructions,TRK332087
ORD_00006,CUST_0350,24-10-2023,PROD_065,75,2,5,210.0,123.36,488.97,434.36,24.44,16.63,3.8,cancelled,cash,8085 Pine Rd,,
ORD_00007,CUST_0457,,PROD_111,109,6,2,58.11,41.11,461.21,394.92,8.47,3.99,0.0,cancelled,credit_card,6703 Oak Ave,,TRK405209
ORD_00008,CUST_0084,05-09-2023,PROD_012,5,5,1,497.07,180.32,923.49,110.09,13.87,39.11,0.0,pending,paypal,7458 Main St,,TRK606906
ORD_00009,CUST_0341,15-09-2023,PROD_163,184,10,2,296.51,334.47,921.81,342.71,21.23,39.23,37.6,delivered,paypal,4548 Oak Ave,,
ORD_00010,CUST_0177,20-10-2023,PROD_013,120,3,4,378.77,401.66,672.38,205.94,0.0,50.88,0.0,returned,debit_card,6488 Pine Rd,,TRK845347
ORD_00011,CUST_0057,18-12-2023,PROD_008,67,6,1,229.44,245.71,573.64,644.11,0.0,18.98,9.26,shipped,debit_card,8322 Main St,,TRK717712
ORD_00012,CUST_0034,03-12-2023,PROD_057,41,8,2,437.56,121.05,276.95,315.51,5.49,23.46,48.55,shipped,bank_transfer,3003 Pine Rd,,TRK833730
ORD_00013,CUST_0425,27-07-2023,PROD_100,100,4,3,59.81,137.37,180.38,282.41,15.29,28.78,14.91,pending,paypal,2853 Oak Ave,Special delivery instructions,TRK967506
ORD_00014,CUST_0338,10-04-2023,PROD_062,105,2,3,294.88,225.47,925.75,211.9,10.33,31.13,0.0,shipped,paypal,4525 Oak Ave,,
ORD_00015,CUST_0435,23-02-2023,PROD_132,65,8,4,107.27,358.83,872.53,204.11,16.84,6.07,43.22,delivered,paypal,3072 Main St,Special delivery instructions,TRK513613
ORD_00016,CUST_0412,12-09-2023,PROD_101,106,8,4,67.2,60.07,265.9,710.96,12.19,36.0,0.0,pending,cash,2425 Oak Ave,,
ORD_00017,CUST_0003,11-07-2023,PROD_080,144,9,1,303.27,266.77,640.34,719.75,15.9,4.92,42.9,pending,cash,1313 Pine Rd,,TRK722102
ORD_00018,CUST_0064,06-04-2023,PROD_079,107,1,2,207.52,150.83,257.54,546.69,0.0,20.58,0.0,pending,credit_card,1179 Main St,,TRK532354
ORD_00019,CUST_0461,15-06-2023,PROD_192,195,7,5,124.88,320.78,367.29,101.93,9.29,33.91,0.0,cancelled,cash,1450 Pine Rd,,
ORD_00020,CUST_0350,21-05-2023,PROD_090,50,10,2,403.27,324.09,206.97,731.07,0.0,33.96,49.37,shipped,credit_card,3723 Oak Ave,,TRK789292
ORD_00021,CUST_0470,16-07-2023,PROD_151,190,2,2,450.62,204.31,897.58,624.06,10.39,30.26,0.0,returned,credit_card,1853 Pine Rd,,
ORD_00022,CUST_0066,,PROD_193,59,8,2,192.6,407.09,288.29,338.0,0.0,42.5,0.0,returned,debit_card,1390 Pine Rd,,
ORD_00023,CUST_0439,27-10-2023,PROD_175,116,4,4,68.47,206.98,384.29,107.97,21.82,22.99,0.0,returned,bank_transfer,1075 Oak Ave,,
ORD_00024,CUST_0408,23-10-2023,PROD_031,15,4,3,287.31,284.7,714.94,203.71,12.13,3.26,0.0,shipped,bank_transfer,6677 Oak Ave,,TRK807511
ORD_00025,CUST_0230,22-03-2023,PROD_187,138,3,5,364.59,168.21,865.82,569.93,0.0,7.56,0.0,returned,paypal,3152 Pine Rd,,TRK280540
ORD_00026,CUST_0453,05-09-2023,PROD_071,76,10,1,446.96,63.2,1047.88,240.01,0.0,25.43,0.0,,cash,3391 Pine Rd,,
ORD_00027,CUST_0108,01-12-2023,PROD_064,161,1,1,435.43,175.89,797.11,200.12,11.93,16.71,0.0,pending,credit_card,6883 Oak Ave,,TRK889661
ORD_00028,CUST_0374,05-01-2023,PROD_101,26,8,1,376.64,35.63,644.82,173.94,0.0,22.58,0.0,delivered,bank_transfer,8687 Pine Rd,,TRK833064
ORD_00029,CUST_0070,18-09-2023,PROD_180,110,6,4,339.16,296.62,894.21,802.62,0.0,4.95,7.42,cancelled,bank_transfer,7267 Pine Rd,,TRK759089
ORD_00030,CUST_0043,31-12-2022,PROD_088,129,10,3,418.33,96.65,713.47,732.12,0.0,10.13,0.0,cancelled,bank_transfer,6837 Pine Rd,,TRK534728
ORD_00031,CUST_0258,06-09-2023,PROD_079,23,4,5,256.73,339.27,57.95,687.15,19.32,13.54,0.0,pending,bank_transfer,9378 Main St,,
ORD_00032,CUST_0470,13-11-2023,PROD_145,27,9,2,203.69,119.16,259.95,467.59,9.14,11.64,8.64,shipped,debit_card,2886 Oak Ave,,TRK139306
ORD_00033,CUST_0060,21-02-2023,PROD_023,126,6,4,400.56,122.77,63.61,769.11,7.0,12.56,0.0,pending,bank_transfer,8004 Oak Ave,,
ORD_00034,CUST_0156,09-08-2023,PROD_051,182,6,1,87.24,174.06,625.64,710.15,19.66,44.95,4.85,processing,credit_card,6747 Main St,,TRK924705
ORD_00035,CUST_0121,25-08-2023,PROD_091,36,10,4,285.07,119.56,906.47,94.09,22.48,11.56,0.0,returned,paypal,7323 Pine Rd,,TRK826889
ORD_00036,CUST_0195,25-11-2023,PROD_064,108,9,5,59.13,397.1,281.49,67.08,8.14,6.17,27.32,returned,paypal,7169 Main St,,
ORD_00037,CUST_0461,21-11-2023,PROD_110,183,8,1,55.67,41.86,474.91,786.33,0.0,45.13,7.55,processing,cash,1956 Pine Rd,Special delivery instructions,TRK369630
ORD_00038,CUST_0231,,PROD_166,23,6,3,105.51,295.86,1030.38,313.13,10.02,10.64,6.04,returned,cash,7384 Pine Rd,,
ORD_00039,CUST_0392,10-12-2023,PROD_183,148,3,5,348.57,21.68,408.41,534.6,0.0,24.81,0.0,processing,debit_card,9923 Pine Rd,,TRK724189
ORD_00040,CUST_0128,08-08-2023,PROD_006,4,7,4,499.48,235.21,154.67,773.58,8.54,26.34,14.66,shipped,credit_card,8372 Main St,,
ORD_00041,CUST_0311,12-05-2023,PROD_028,166,7,1,33.9,178.2,518.18,824.78,22.75,17.09,0.0,processing,paypal,8574 Pine Rd,,TRK549473
ORD_00042,CUST_0214,27-04-2023,PROD_030,122,4,4,261.87,77.01,708.98,357.47,19.81,25.39,0.0,pending,bank_transfer,9557 Main St,,
ORD_00043,CUST_0215,15-06-2023,PROD_164,167,4,1,486.69,402.13,518.68,513.74,0.0,41.41,0.0,pending,credit_card,1933 Main St,,TRK193627
ORD_00044,CUST_0062,06-03-2023,PROD_193,186,5,1,338.28,387.11,987.28,536.33,10.52,47.93,0.0,returned,paypal,7529 Main St,,
ORD_00045,CUST_0180,11-08-2023,PROD_126,88,6,3,192.38,362.98,454.21,678.31,23.42,27.97,0.0,pending,debit_card,606 Pine Rd,Special delivery instructions,TRK791608
