order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number
ORD_00001,1,499,CUST_0499,5/27/2023,2023-08-07T14:46:00.000Z,PROD_165,22,8,1,145.96,110.94,735.95,735.24,0.00,18.03,28.57,returned,pending,paypal,6339 Main St,,
ORD_00002,2,142,CUST_0142,4/7/2023,2023-09-25T18:44:00.000Z,PROD_128,137,1,3,196.15,311.30,822.24,83.42,6.95,16.74,0.00,,delivered,credit_card,2613 Pine Rd,,TRK729666
ORD_00003,3,423,CUST_0423,2023-08-14,2023-03-28T10:52:00.000Z,PROD_072,20,2,3,221.29,188.02,901.03,461.60,6.54,13.89,0.00,returned,CANCELLED,credit_card,7500 Main St,Special delivery instructions,
ORD_00004,4,115,CUST_0115,2023-10-25,2023-11-03T22:57:00.000Z,PROD_087,184,1,1,88.97,151.61,553.47,383.83,18.33,39.49,0.00,pending,,debit_card,4611 Main St,,
ORD_00005,5,308,CUST_0308,2023-06-24,,PROD_105,34,10,3,14.13,105.91,957.64,449.37,22.35,3.30,0.00,SHIPPED,pending,credit_card,1651 Main St,Special delivery instructions,TRK332087
ORD_00006,6,350,CUST_0350,2023-10-24,,PROD_065,75,2,5,210.00,123.36,488.97,434.36,24.44,16.63,3.80,CANCELLED,returned,cash,8085 Pine Rd,,
ORD_00007,7,457,CUST_0457,,2023-07-04T20:03:00.000Z,PROD_111,109,6,2,58.11,41.11,461.21,394.92,8.47,3.99,0.00,CANCELLED,processing,credit_card,6703 Oak Ave,,TRK405209
ORD_00008,8,84,CUST_0084,2023-09-05,2023-12-20T12:01:00.000Z,PROD_012,5,5,1,497.07,180.32,923.49,110.09,13.87,39.11,0.00,pending,processing,paypal,7458 Main St,,TRK606906
ORD_00009,9,341,CUST_0341,9/15/2023,2023-03-20T08:50:00.000Z,PROD_163,184,10,2,296.51,334.47,921.81,342.71,21.23,39.23,37.60,delivered,returned,paypal,4548 Oak Ave,,
ORD_00010,10,177,CUST_0177,2023-10-20,2023-09-08T07:13:00.000Z,PROD_013,120,3,4,378.77,401.66,672.38,205.94,0.00,50.88,0.00,returned,delivered,debit_card,6488 Pine Rd,,TRK845347
ORD_00011,11,57,CUST_0057,12/18/2023,2023-09-12T05:51:00.000Z,PROD_008,67,6,1,229.44,245.71,573.64,644.11,0.00,18.98,9.26,SHIPPED,processing,debit_card,8322 Main St,,TRK717712
ORD_00012,12,34,CUST_0034,12/3/2023,,PROD_057,41,8,2,437.56,121.05,276.95,315.51,5.49,23.46,48.55,SHIPPED,CANCELLED,bank_transfer,3003 Pine Rd,,TRK833730
ORD_00013,13,425,CUST_0425,2023-07-27,2023-08-05T01:23:00.000Z,PROD_100,100,4,3,59.81,137.37,180.38,282.41,15.29,28.78,14.91,,pending,paypal,2853 Oak Ave,Special delivery instructions,TRK967506
ORD_00014,14,338,CUST_0338,4/10/2023,2023-02-11T13:16:00.000Z,PROD_062,105,2,3,294.88,225.47,925.75,211.90,10.33,31.13,0.00,SHIPPED,CANCELLED,paypal,4525 Oak Ave,,
ORD_00015,15,435,CUST_0435,2023-02-23,2022-12-31T18:58:00.000Z,PROD_132,65,8,4,107.27,358.83,872.53,204.11,16.84,6.07,43.22,delivered,processing,paypal,3072 Main St,Special delivery instructions,TRK513613
ORD_00016,16,412,CUST_0412,2023-09-12,2023-01-28T00:42:00.000Z,PROD_101,106,8,4,67.20,60.07,265.90,710.96,12.19,36.00,0.00,pending,processing,cash,2425 Oak Ave,,
ORD_00017,17,3,CUST_0003,2023-07-11,,PROD_080,144,9,1,303.27,266.77,640.34,719.75,15.90,4.92,42.90,pending,SHIPPED,cash,1313 Pine Rd,,TRK722102
ORD_00018,18,64,CUST_0064,2023-04-06,2023-08-25T03:46:00.000Z,PROD_079,107,1,2,207.52,150.83,257.54,546.69,0.00,20.58,0.00,pending,processing,credit_card,1179 Main St,,TRK532354
ORD_00019,19,461,CUST_0461,6/15/2023,2023-09-12T19:40:00.000Z,PROD_192,195,7,5,124.88,320.78,367.29,101.93,9.29,33.91,0.00,CANCELLED,pending,cash,1450 Pine Rd,,
ORD_00020,20,350,CUST_0350,5/21/2023,,PROD_090,50,10,2,403.27,324.09,206.97,731.07,0.00,33.96,49.37,SHIPPED,delivered,credit_card,3723 Oak Ave,,TRK789292
ORD_00021,21,470,CUST_0470,7/16/2023,2023-05-16T01:26:00.000Z,PROD_151,190,2,2,450.62,204.31,897.58,624.06,10.39,30.26,0.00,returned,CANCELLED,credit_card,1853 Pine Rd,,
ORD_00022,22,66,CUST_0066,,2023-03-13T19:20:00.000Z,PROD_193,59,8,2,192.60,407.09,288.29,338.00,0.00,42.50,0.00,returned,pending,debit_card,1390 Pine Rd,,
ORD_00023,23,439,CUST_0439,10/27/2023,,PROD_175,116,4,4,68.47,206.98,384.29,107.97,21.82,22.99,0.00,returned,SHIPPED,bank_transfer,1075 Oak Ave,,
ORD_00024,24,408,CUST_0408,10/23/2023,2023-12-25T03:14:00.000Z,PROD_031,15,4,3,287.31,284.70,714.94,203.71,12.13,3.26,0.00,SHIPPED,,bank_transfer,6677 Oak Ave,,TRK807511
ORD_00025,25,230,CUST_0230,3/22/2023,2023-10-17T03:52:00.000Z,PROD_187,138,3,5,364.59,168.21,865.82,569.93,0.00,7.56,0.00,,returned,paypal,3152 Pine Rd,,TRK280540
ORD_00026,26,453,CUST_0453,9/5/2023,2023-08-07T08:39:00.000Z,PROD_071,76,10,1,446.96,63.20,1047.88,240.01,0.00,25.43,0.00,,,cash,3391 Pine Rd,,
ORD_00027,27,108,CUST_0108,12/1/2023,2023-11-13T02:44:00.000Z,PROD_064,161,1,1,435.43,175.89,797.11,200.12,11.93,16.71,0.00,pending,returned,credit_card,6883 Oak Ave,,TRK889661
ORD_00028,28,374,CUST_0374,1/5/2023,2023-08-31T21:08:00.000Z,PROD_101,26,8,1,376.64,35.63,644.82,173.94,0.00,22.58,0.00,delivered,,bank_transfer,8687 Pine Rd,,TRK833064
ORD_00029,29,70,CUST_0070,9/18/2023,2023-12-13T20:44:00.000Z,PROD_180,110,6,4,339.16,296.62,894.21,802.62,0.00,4.95,7.42,CANCELLED,,bank_transfer,7267 Pine Rd,,TRK759089
ORD_00030,30,43,CUST_0043,2022-12-31,,PROD_088,129,10,3,418.33,96.65,713.47,732.12,0.00,10.13,0.00,CANCELLED,pending,bank_transfer,6837 Pine Rd,,TRK534728
ORD_00031,31,258,CUST_0258,9/6/2023,2023-07-04T13:55:00.000Z,PROD_079,23,4,5,256.73,339.27,57.95,687.15,19.32,13.54,0.00,pending,pending,bank_transfer,9378 Main St,,
ORD_00032,32,470,CUST_0470,11/13/2023,2023-01-17T13:47:00.000Z,PROD_145,27,9,2,203.69,119.16,259.95,467.59,9.14,11.64,8.64,SHIPPED,SHIPPED,debit_card,2886 Oak Ave,,TRK139306
ORD_00033,33,60,CUST_0060,2023-02-21,2023-04-21T03:22:00.000Z,PROD_023,126,6,4,400.56,122.77,63.61,769.11,7.00,12.56,0.00,pending,pending,bank_transfer,8004 Oak Ave,,
ORD_00034,34,156,CUST_0156,2023-08-09,2023-09-22T10:45:00.000Z,PROD_051,182,6,1,87.24,174.06,625.64,710.15,19.66,44.95,4.85,processing,returned,credit_card,6747 Main St,,TRK924705
ORD_00035,35,121,CUST_0121,2023-08-25,,PROD_091,36,10,4,285.07,119.56,906.47,94.09,22.48,11.56,0.00,returned,pending,paypal,7323 Pine Rd,,TRK826889
